section_code,section,contents,clause_title,clause_reference
A,A1,General Rules,Bills Of Quantities,Bills of Quantities shall fully describe and accurately represent the works to be executed. Work which cannot be measured accurately shall be described as provisional or given in a bill of approximate quantities.
A,A2,General Rules,Measurements,(a) Work shall be measured net as fixed in position and each measurement shall be taken to the nearest 10 mm (i.e. 5 millimetres and over shall be regarded as 10 millimetres; less than 5 millimetres shall be disregarded). This rule shall not apply to any dimensions stated in descriptions. (b) Where minimum deductions of voids are dealt with in this document they shall refer only to openings or wants wholly within the boundaries of measured areas. Openings or voids/holes at the boundaries of measured areas shall always be subject to deduction irrespective of size.
A,A3,General Rules,Description,"(a) The order of stating dimensions in descriptions shall be consistent and generally in the sequence of length, width and height. Where that sequence is not appropriate or where ambiguity could arise, the dimensions shall be specifically identified. (b) Unless otherwise specifically stated in the bill or herein, the following shall be deemed to be included with all items: i. Labour and all costs in connection therewith; ii. Materials, goods and all costs in connection therewith (e.g. conveyance, delivery, unloading, storing, returning packings, handling, hoisting, lowering); iii. Fitting and fixing materials and goods in position; iv. Use of plants and machinery; v. Waste of materials; vi. Square cutting; vii. Establishment charges, overhead charges and profit; viii. All taxes and duties. (c) Junctions between straight and curved work shall in all cases be deemed to be included with the work in which they occur. (d) Notwithstanding the provisions in this document for labours to be given as linear items, such labours may be given in the descriptions of any linear items of work in which they occur. (e) Notwithstanding the provisions in this document for labours to be enumerated, such labour may be given in the description of any enumerated item of work on which they occur. (f) Labours on existing work shall be so described."
A,A4,General Rules,Sizes Of Pipes Or The Like,"Where this document requires the sizes of pipes and tubes (measured internally) and bars, cables, conduits, standards and the like (measured externally) to be stated, the actual size of the pipe, tube, bar or the like shall be stated."
A,A5,General Rules,Quantities,"(a) Where the unit of billing is the metre, kilogram or litre, quantities shall be billed to the nearest whole unit. Fractions of a unit less than half shall be disregarded and all other fractions shall be regarded as whole units. (b) Where the Bills of Quantities is subject to use of more than two identical units repeated, then the unit of billing shall be to the nearest two decimal places. (c) Where application of this Clause would cause an entire item to be eliminated, such item shall be enumerated stating the size or weight as appropriate."
A,A6,General Rules,Provisional Or Prime Cost Sums,"Where this document requires provisional or prime cost sums to be given in accordance with this Clause, the choice of term shall be made in conformity with the following definitions unless otherwise provided in the conditions of contract: i. The term 'provisional sum' shall mean a sum provided for work or for costs which cannot be entirely foreseen, defined or detailed at the time the tendering documents are issued. ii. The term 'prime cost sum' shall mean a sum provided for work or services to be executed by a nominated sub-contractor, a statutory authority, or a public undertaking, or for materials or goods to be obtained from a nominated supplier. Such sum shall be deemed to be exclusive of any profit and attendance required by the general contractor, and provision shall be made for the addition thereof."
A,A7,General Rules,Work Under Water,"Work executed in or under water shall be so described stating whether canal, river or sea water and, where applicable, the levels of high and low water."
A,A8,General Rules,Work In Compressed Air,Work executed in compressed air shall be so described stating the pressure and the methods of entry and exit.
A,A9,General Rules,Dayworks,"(a) The term 'daywork' shall mean work for which the contractor is to be paid on the basis of the cost of materials, labour and plant plus an agreed percentage for overheads and profit. (b) Works shall be quantified as 'dayworks' where the works may not be measured in the normal way stipulated in this document. Such works shall be quantified as provided in Clause 818 herein."
A,A10,General Rules,Departures From The Standard Method Of Measurement,"No departure shall be made from this Standard Method of Measurement except to meet the requirements of exceptional circumstances. In such cases, special methods may be adopted provided the principles laid down herein are observed. The rules of measurement adopted in these circumstances shall be clearly stated in the Bills of Quantities."
